
 Number of particles is varied below:


Number of particles: 2000, C1: 1.5, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 988.6436860627057, Number of Items: 42.0, Value: -266.4173149277099


Number of particles: 2000, C1: 1.6, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 992.2720052253567, Number of Items: 41.0, Value: -284.00323370621976


Number of particles: 2000, C1: 1.7000000000000002, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 998.6940377847154, Number of Items: 38.0, Value: -261.0823671782


Number of particles: 2000, C1: 1.8, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 994.9197295512105, Number of Items: 46.0, Value: -293.4576598879116


Number of particles: 2000, C1: 1.9000000000000001, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 988.719040793955, Number of Items: 41.0, Value: -273.64191928785533


Number of particles: 2000, C1: 2.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 997.986575612198, Number of Items: 45.0, Value: -286.92929823370997


 C2 is varied below:

Number of particles: 2000, C1: 1.0, C2: 0.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 961.85538983385, Number of Items: 25.0, Value: -183.11983623433


Number of particles: 2000, C1: 1.0, C2: 0.1, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 992.417456582, Number of Items: 35.0, Value: -225.56652304263


Number of particles: 2000, C1: 1.0, C2: 0.2, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 978.461959411836, Number of Items: 38.0, Value: -245.77991173841264


Number of particles: 2000, C1: 1.0, C2: 0.30000000000000004, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 990.75216875069, Number of Items: 38.0, Value: -251.49142765278899


Number of particles: 2000, C1: 1.0, C2: 0.4, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 997.5526147267278, Number of Items: 36.0, Value: -266.80263778046003


Number of particles: 2000, C1: 1.0, C2: 0.5, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 993.2547053023297, Number of Items: 37.0, Value: -282.06801151123


Number of particles: 2000, C1: 1.0, C2: 0.6000000000000001, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 981.1534443148021, Number of Items: 42.0, Value: -272.083862595115


Number of particles: 2000, C1: 1.0, C2: 0.7000000000000001, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 996.9686132273273, Number of Items: 47.0, Value: -315.1758183236501


Number of particles: 2000, C1: 1.0, C2: 0.8, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 999.6721943297423, Number of Items: 43.0, Value: -285.15002730669


Number of particles: 2000, C1: 1.0, C2: 0.9, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 991.4988502940784, Number of Items: 42.0, Value: -284.0354377090571


Number of particles: 2000, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 997.3265759704624, Number of Items: 46.0, Value: -282.70905315962494


Number of particles: 2000, C1: 1.0, C2: 1.1, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 996.555250282656, Number of Items: 44.0, Value: -287.18523976634697


Number of particles: 2000, C1: 1.0, C2: 1.2000000000000002, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 993.8429920834641, Number of Items: 37.0, Value: -263.169129895495


Number of particles: 2000, C1: 1.0, C2: 1.3, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 997.472085059257, Number of Items: 43.0, Value: -312.41202055972695


Number of particles: 2000, C1: 1.0, C2: 1.4000000000000001, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 997.7394559483005, Number of Items: 48.0, Value: -305.38283221381107


Number of particles: 2000, C1: 1.0, C2: 1.5, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 991.6845874067989, Number of Items: 47.0, Value: -295.20210056243604


Number of particles: 2000, C1: 1.0, C2: 1.6, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 996.3918646936539, Number of Items: 36.0, Value: -258.1033861752184


Number of particles: 2000, C1: 1.0, C2: 1.7000000000000002, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 989.316368489181, Number of Items: 43.0, Value: -292.95987987534994


Number of particles: 2000, C1: 1.0, C2: 1.8, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 994.2678313901962, Number of Items: 39.0, Value: -255.1351273945134


Number of particles: 2000, C1: 1.0, C2: 1.9000000000000001, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 986.3863133168273, Number of Items: 43.0, Value: -299.25731713276997


Number of particles: 2000, C1: 1.0, C2: 2.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 999.289841928871, Number of Items: 47.0, Value: -319.9100338671299
